latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,frp,daynight,month,day
-31.228,121.125,341.7,2.1,1.4,2020-01-01,0.0,Terra,81,78.2,D,1,1
-31.239,121.101,398.4,2.1,1.4,2020-01-01,0.0,Terra,100,686.2,D,1,1
-31.241,121.124,339.2,2.1,1.4,2020-01-01,0.0,Terra,82,73.4,D,1,1
-31.636999999999997,119.72,329.4,1.8,1.3,2020-01-01,0.0,Terra,61,21.7,D,1,1
-31.820999999999998,121.53,346.7,2.3,1.5,2020-01-01,0.0,Terra,91,136.7,D,1,1
-31.834,121.52799999999999,346.9,2.3,1.5,2020-01-01,0.0,Terra,91,136.5,D,1,1
-31.837,121.553,362.6,2.3,1.5,2020-01-01,0.0,Terra,100,267.2,D,1,1
-31.816,121.524,330.3,2.3,1.5,2020-01-01,0.0,Terra,70,47.6,D,1,1
-31.83,121.523,346.0,2.3,1.5,2020-01-01,0.0,Terra,90,129.5,D,1,1
-31.831999999999997,121.54799999999999,346.5,2.3,1.5,2020-01-01,0.0,Terra,91,133.9,D,1,1
-31.845,121.546,378.7,2.3,1.5,2020-01-01,0.0,Terra,100,454.3,D,1,1
-31.846999999999998,121.571,382.1,2.3,1.5,2020-01-01,0.0,Terra,100,505.2,D,1,1
-31.861,121.57,344.9,2.3,1.5,2020-01-01,0.0,Terra,89,130.3,D,1,1
-31.863000000000003,121.595,378.1,2.3,1.5,2020-01-01,0.0,Terra,100,453.6,D,1,1
-31.875999999999998,121.59299999999999,357.6,2.3,1.5,2020-01-01,0.0,Terra,98,226.8,D,1,1
-31.878,121.618,355.7,2.4,1.5,2020-01-01,0.0,Terra,97,209.7,D,1,1
-31.88,121.64399999999999,336.3,2.4,1.5,2020-01-01,0.0,Terra,76,75.9,D,1,1
-32.497,123.44,336.5,3.2,1.7,2020-01-01,0.0,Terra,82,117.4,D,1,1
-32.378,121.559,328.1,2.4,1.5,2020-01-01,0.0,Terra,51,36.8,D,1,1
